target,model_name,family,status,cv_mae,cv_rmse,cv_r2,cv_pearson,cv_spearman,train_mae,train_rmse,train_r2,top_decile_actual_mean,overall_actual_mean,top_decile_lift,params_json,rows_used,notes
bpr,mean_baseline,baseline,baseline,1.7603136703600177,2.21610248570453,-0.002351850905651043,-0.052666065869604865,-0.02780940298896604,1.7603136703600177,2.21610248570453,-0.002351850905651043,0.981842105263158,1.2193386243386242,-0.2374965190754662,{},378,Mean prediction within each training fold
bpr,ridge_alpha_0.03,ridge,ok,1.5785453789947836,1.9852037343909055,0.19563959911264228,0.548655238161815,0.5468732858989718,1.098238408319392,1.3820439989778883,0.6101619248865437,3.491842105263158,1.2193386243386242,2.2725034809245335,"{""alpha"": 0.03}",378,
bpr,ridge_alpha_0.1,ridge,ok,1.5576950336010622,1.9640750258015922,0.21267025044506882,0.5562260071412047,0.5549247590706022,1.0989473198283533,1.3825038288842388,0.6099024700109816,3.4418421052631576,1.2193386243386242,2.2225034809245336,"{""alpha"": 0.1}",378,
bpr,ridge_alpha_0.3,ridge,ok,1.5191321331831953,1.9223764095368825,0.24574643477979952,0.5701906598908211,0.5691041547492734,1.101061328099992,1.3841740695464566,0.6089593256594645,3.3768421052631576,1.2193386243386242,2.1575034809245333,"{""alpha"": 0.3}",378,
bpr,ridge_alpha_1,ridge,ok,1.4568548133262398,1.8490571603862032,0.3021835733189966,0.5948332700867637,0.597305084974974,1.106467181100148,1.3911303029455744,0.6050190620287836,3.4839473684210525,1.2193386243386242,2.2646087440824285,"{""alpha"": 1}",378,
bpr,ridge_alpha_3,ridge,ok,1.3941543622285997,1.7755440303277468,0.3565668859824479,0.6202014894398207,0.6226798454688146,1.1196074953537014,1.4080880182936026,0.5953308278487411,3.5713157894736844,1.2193386243386242,2.35197716513506,"{""alpha"": 3}",378,
bpr,ridge_alpha_10,ridge,ok,1.3505022690237296,1.710359907170839,0.40294336334788416,0.643008554483714,0.6459173151029364,1.140808554156646,1.441400570409989,0.5759570041729003,3.7810526315789477,1.2193386243386242,2.5617140072403233,"{""alpha"": 10}",378,
bpr,ridge_alpha_30,ridge,ok,1.325549337108056,1.6729029097978756,0.4288081685075701,0.6559741264922494,0.6568067337136426,1.1695003978037806,1.4803085891454029,0.55275547479238,3.741315789473685,1.2193386243386242,2.521977165135061,"{""alpha"": 30}",378,
bpr,ridge_alpha_100,ridge,ok,1.3090140090054019,1.6669220261821291,0.4328850639100371,0.6612717187103783,0.6580606243490005,1.2029090905855984,1.5344260473216318,0.5194567964925081,3.7097368421052637,1.2193386243386242,2.4903982177666393,"{""alpha"": 100}",378,
bpr,ridge_alpha_300,ridge,ok,1.3649745831429805,1.7343719209566286,0.38606133921558616,0.6524201462916603,0.6438022425587193,1.2778868618733528,1.6310273206851678,0.4570460630799056,3.72421052631579,1.2193386243386242,2.5048719019771655,"{""alpha"": 300}",378,
bpr,ridge_alpha_1000,ridge,ok,1.50681644984894,1.9014420015443338,0.26208441849229835,0.6221808749663921,0.6117875384770931,1.440637959690868,1.819490071188835,0.32432181892441314,3.785,1.2193386243386242,2.565661375661376,"{""alpha"": 1000}",378,
bpr,elastic_alpha_0.01_l1_0.05,elastic_net,ok,1.3963951013900835,1.7787212486612844,0.3542620638596885,0.6194241867058256,0.6220224055131093,1.1243592401323108,1.4151521991253284,0.5912603053938299,3.6060526315789474,1.2193386243386242,2.3867140072403235,"{""alpha"": 0.01, ""l1_ratio"": 0.05}",378,
bpr,elastic_alpha_0.01_l1_0.15,elastic_net,ok,1.3897954779480557,1.7707121879232275,0.3600641094672994,0.6224245222144226,0.6253056059948461,1.1275042552603416,1.4192671833278836,0.5888797801218446,3.576578947368421,1.2193386243386242,2.3572403230297967,"{""alpha"": 0.01, ""l1_ratio"": 0.15}",378,
bpr,elastic_alpha_0.01_l1_0.35,elastic_net,ok,1.3780789386693049,1.7549196240509362,0.3714280803730138,0.6287016119906139,0.6310748137981066,1.134043526580678,1.4286825041920577,0.5834070005980665,3.6152631578947365,1.2193386243386242,2.395924533556112,"{""alpha"": 0.01, ""l1_ratio"": 0.35}",378,
bpr,elastic_alpha_0.01_l1_0.65,elastic_net,ok,1.3665876829494774,1.7350568640497077,0.38557632665824426,0.6362278955447047,0.639066852975769,1.144428748657001,1.4443752157884813,0.5742049872416242,3.551578947368421,1.2193386243386242,2.3322403230297972,"{""alpha"": 0.01, ""l1_ratio"": 0.65}",378,
bpr,elastic_alpha_0.03_l1_0.05,elastic_net,ok,1.351819924030661,1.7128326860758254,0.40121570789245453,0.6427866199592984,0.6468628155191258,1.1479328167657874,1.4513255022746923,0.5700973044838477,3.7810526315789477,1.2193386243386242,2.5617140072403233,"{""alpha"": 0.03, ""l1_ratio"": 0.05}",378,
bpr,elastic_alpha_0.03_l1_0.15,elastic_net,ok,1.341948933418175,1.6991324277123996,0.41075626760857653,0.6484671055259952,0.6520162427082471,1.1563332918912301,1.463672350457668,0.5627515761610633,3.781052631578948,1.2193386243386242,2.561714007240324,"{""alpha"": 0.03, ""l1_ratio"": 0.15}",378,
bpr,elastic_alpha_0.03_l1_0.35,elastic_net,ok,1.330066714059,1.6788246111111804,0.42475722936903226,0.6566876601070802,0.6599655116285681,1.1734539393415029,1.4863568819013466,0.549093276160854,3.6789473684210527,1.2193386243386242,2.459608744082429,"{""alpha"": 0.03, ""l1_ratio"": 0.35}",378,
