year,conference,rank,player_name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus
2024-25,All,1,Cooper Flagg,Duke,7.41,5.66,13.07,1892,7.57,4.27,11.85,130.1,82.5,47.5,626
2024-25,All,2,Johni Broome,Auburn,6.83,4.41,11.24,1862,6.41,4.21,10.62,131.2,89.2,42.0,390
2024-25,All,3,Braden Smith,Purdue,7.00,3.23,10.23,2198,6.79,3.34,10.12,123.6,95.9,27.7,218
2024-25,All,4,Walter Clayton Jr.,Florida,6.86,2.94,9.80,2267,6.64,2.47,9.11,128.6,86.2,42.4,565
2024-25,All,5,Kam Jones,Marquette,6.79,2.73,9.51,1968,6.61,2.07,8.68,119.7,87.6,32.1,374
2024-25,All,6,Dylan Cardwell,Auburn,4.57,4.91,9.47,1322,3.79,3.66,7.46,128.7,82.7,46.0,306
2024-25,All,7,Thomas Haugh,Florida,6.21,3.16,9.37,1720,5.84,2.57,8.41,131.9,87.6,44.3,460
2024-25,All,8,Joseph Tugler,Houston,3.04,6.29,9.34,1336,1.77,4.17,5.94,128.9,76.9,52.1,455
2024-25,All,9,Zakai Zeigler,Tennessee,5.84,3.48,9.32,2054,6.14,2.92,9.06,120.3,85.6,34.7,353
2024-25,All,10,Hunter Dickinson,Kansas,4.69,4.37,9.06,1780,3.96,3.24,7.20,118.6,87.1,31.4,242
2024-25,All,11,Kadary Richmond,St. John's,3.95,5.07,9.02,2048,4.21,3.73,7.94,115.8,82.6,33.1,403
2024-25,All,12,Yaxel Lendeborg,UAB,6.17,2.77,8.94,2144,6.87,2.99,9.86,118.6,102.7,15.9,208
2024-25,All,13,Ryan Kalkbrenner,Creighton,5.27,3.62,8.90,2042,5.05,2.57,7.62,117.9,90.5,27.5,232
2024-25,All,14,Collin Murray-Boyles,South Carolina,4.68,4.21,8.89,1638,4.63,3.76,8.39,110.5,93.6,16.9,31
2024-25,All,15,Nique Clifford,Colorado State,5.21,3.68,8.89,2116,5.40,2.52,7.92,117.8,92.6,25.2,337
2024-25,All,16,Chad Baker-Mazara,Auburn,5.87,3.00,8.87,1672,5.67,3.33,9.00,130.7,89.3,41.4,383
2024-25,All,17,Kon Knueppel,Duke,6.18,2.60,8.79,1976,6.37,1.34,7.71,131.4,84.1,47.3,619
2024-25,All,18,JT Toppin,Texas Tech,5.65,2.92,8.56,1495,5.32,2.82,8.14,127.3,94.4,32.9,275
2024-25,All,19,Ja'Kobi Gillespie,Maryland,6.12,2.40,8.52,2009,5.76,1.85,7.61,123.8,88.5,35.4,440
