year,conference,rank,player_name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus
2023-24,All,1,Zach Edey,Purdue,9.76,4.52,14.28,2126,8.96,3.24,12.20,131.2,86.3,45.0,590
2023-24,All,2,Donovan Clingan,Connecticut,6.25,5.43,11.68,1313,6.14,3.92,10.06,131.6,82.6,49.0,449
2023-24,All,3,Jamal Shead,Houston,6.20,4.89,11.09,1856,6.05,3.44,9.49,122.9,76.7,46.3,579
2023-24,All,4,Reed Sheppard,Kentucky,6.74,3.32,10.05,1767,5.82,3.83,9.65,128.1,95.2,32.9,362
2023-24,All,5,Johni Broome,Auburn,4.81,5.20,10.01,1549,5.85,4.00,9.85,120.5,85.1,35.3,353
2023-24,All,6,Cam Spencer,Connecticut,7.21,2.65,9.86,2184,7.33,2.03,9.36,129.7,86.8,42.9,618
2023-24,All,7,Braden Smith,Purdue,6.38,3.09,9.46,2265,6.04,2.82,8.86,128.2,89.1,39.0,496
2023-24,All,8,Tristen Newton,Connecticut,6.76,2.43,9.19,2195,7.08,2.00,9.08,129.4,86.9,42.5,615
2023-24,All,9,Kyle Filipowski,Duke,5.19,3.82,9.01,1846,4.89,3.23,8.12,123.7,90.9,32.8,360
2023-24,All,10,Tamin Lipsey,Iowa State,4.54,4.30,8.84,1918,4.60,2.71,7.31,116.0,81.6,34.4,419
2023-24,All,11,Anton Watson,Gonzaga,5.35,3.46,8.81,1852,4.51,2.22,6.73,125.5,89.3,36.2,473
2023-24,All,12,DaRon Holmes II,Dayton,5.04,3.59,8.62,1752,5.37,2.97,8.34,116.6,91.6,24.9,266
2023-24,All,13,Mark Sears,Alabama,7.22,1.40,8.61,2309,7.48,2.15,9.64,126.1,97.6,28.5,243
2023-24,All,14,Tyler Kolek,Marquette,6.08,2.52,8.61,1824,6.44,2.01,8.45,118.9,88.4,30.4,299
2023-24,All,15,Devin Carter,Providence,4.48,4.07,8.55,1996,4.74,3.84,8.58,111.5,89.3,22.2,168
2023-24,All,16,Jonathan Mogbo,San Francisco,5.23,3.23,8.46,1650,5.82,2.50,8.31,116.7,91.9,24.8,298
2023-24,All,17,KJ Simpson,Colorado,6.05,2.39,8.44,2246,6.37,1.96,8.33,120.6,93.6,27.0,330
2023-24,All,18,Terrence Shannon Jr.,Illinois,6.60,1.81,8.41,1901,6.63,1.82,8.46,125.6,95.6,30.0,270
2023-24,All,19,Chad Baker-Mazara,Auburn,5.62,2.71,8.33,1358,4.95,2.28,7.23,129.2,88.1,41.1,389
2023-24,All,20,J'Wan Roberts,Houston,4.37,3.93,8.30,1540,4.24,2.87,7.11,122.1,79.0,43.1,382
2023-24,All,21,RJ Davis,North Carolina,6.27,1.99,8.26,2284,6.30,1.39,7.69,122.3,89.8,32.5,390
2023-24,All,22,Baylor Scheierman,Creighton,5.32,2.88,8.19,2192,5.16,2.16,7.32,122.4,90.6,31.8,365
2023-24,All,23,Jaylin Williams,Auburn,5.28,2.86,8.14,1472,5.65,1.68,7.33,121.7,86.2,35.5,352
2023-24,All,24,Armando Bacot,North Carolina,4.71,3.39,8.10,1992,4.08,2.68,6.76,122.1,89.0,33.1,376
2023-24,All,25,Kadary Richmond,Seton Hall,3.61,4.45,8.06,1960,3.77,3.78,7.55,113.2,89.6,23.6,198
2023-24,All,26,Zakai Zeigler,Tennessee,5.21,2.79,8.00,2003,4.84,1.97,6.82,120.9,85.5,35.4,345
2023-24,All,27,Cameron Matthews,Mississippi State,3.27,4.65,7.92,1718,3.42,3.85,7.26,113.8,86.6,27.2,234
2023-24,All,28,LJ Cryer,Houston,5.40,2.51,7.91,1908,5.46,0.64,6.10,120.4,77.3,43.1,541
2023-24,All,29,Coleman Hawkins,Illinois,5.11,2.79,7.90,1928,4.40,3.32,7.72,128.8,96.7,32.0,289
2023-24,All,30,Enrique Freeman,Akron,4.05,3.84,7.89,1832,3.56,2.82,6.38,109.6,93.8,15.9,224
2023-24,All,31,Ryan Kalkbrenner,Creighton,4.66,3.22,7.89,2050,4.08,2.17,6.25,122.0,89.4,32.7,346
2023-24,All,32,Hunter Dickinson,Kansas,3.85,4.02,7.88,1800,3.78,3.28,7.06,115.9,88.5,27.4,216
2023-24,All,33,Drew Pember,UNC Asheville,5.27,2.55,7.83,1674,5.42,2.10,7.53,111.0,99.4,11.6,154
2023-24,All,34,Reece Beekman,Virginia,3.83,3.93,7.76,1720,4.50,3.26,7.76,104.8,89.0,15.8,72
2023-24,All,35,Dylan Disu,Texas,3.62,3.98,7.60,1096,3.28,3.00,6.28,119.7,86.9,32.8,174
2023-24,All,36,Wade Taylor IV,Texas A&M,5.34,2.25,7.58,2036,5.22,2.15,7.37,118.6,95.0,23.7,205
2023-24,All,37,Dylan Cardwell,Auburn,4.62,2.97,7.58,884,3.79,3.29,7.08,126.7,92.9,33.8,177
2023-24,All,38,Daniss Jenkins,St. John's,5.17,2.39,7.56,1766,6.06,2.66,8.73,118.6,94.2,24.3,160
2023-24,All,39,Aaron Estrada,Alabama,5.43,2.05,7.47,2142,4.55,2.59,7.13,127.6,96.3,31.4,283
2023-24,All,40,Shahada Wells,McNeese State,4.84,2.56,7.40,1712,4.80,1.99,6.79,117.4,94.0,23.4,384
2023-24,All,41,Jaelen House,New Mexico,4.21,3.17,7.38,1602,3.14,2.07,5.21,117.3,89.9,27.3,258
2023-24,All,42,Alex Karaban,Connecticut,5.07,2.21,7.28,2030,4.95,1.79,6.75,130.2,86.5,43.6,596
2023-24,All,43,Josiah-Jordan James,Tennessee,3.32,3.94,7.26,1841,2.60,2.92,5.53,120.3,83.4,36.9,350
2023-24,All,44,Pelle Larsson,Arizona,5.15,2.08,7.23,2012,5.02,1.04,6.06,122.7,86.3,36.4,429
2023-24,All,45,N'Faly Dante,Oregon,3.51,3.68,7.19,1185,3.23,2.87,6.10,115.3,91.6,23.8,94
2023-24,All,46,Oso Ighodaro,Marquette,3.73,3.42,7.15,2044,3.56,2.15,5.71,117.8,85.3,32.5,331
2023-24,All,47,Tyson Walker,Michigan State,4.37,2.73,7.10,1873,4.04,1.99,6.03,115.5,86.8,28.8,217
2023-24,All,48,Dalton Knecht,Tennessee,4.69,2.40,7.09,1934,5.60,1.92,7.52,118.7,84.1,34.6,337
2023-24,All,49,Robbie Avila,Indiana State,6.02,1.03,7.05,2040,5.99,0.91,6.90,123.4,97.7,25.7,412
2023-24,All,50,Jaedon LeDee,San Diego State,4.70,2.33,7.03,1910,5.33,1.86,7.18,115.0,89.3,25.7,230
2023-24,All,51,Isaiah Stevens,Colorado State,5.70,1.29,7.00,2006,5.48,1.29,6.77,115.5,93.4,22.1,222
2023-24,All,52,Payton Sandfort,Iowa,6.18,0.79,6.97,1886,5.83,1.52,7.35,121.2,100.3,20.9,137
2023-24,All,53,Santiago Vescovi,Tennessee,3.46,3.46,6.93,1548,2.64,1.65,4.29,116.8,80.9,35.8,302
2023-24,All,54,Chris Manon,Cornell,2.86,4.07,6.92,1114,3.77,3.16,6.94,112.2,94.2,18.0,162
2023-24,All,55,Quinten Post,Boston College,4.07,2.85,6.92,1904,4.60,2.54,7.14,113.5,93.6,20.0,174
2023-24,All,56,Joel Soriano,St. John's,4.68,2.23,6.92,1614,5.52,2.15,7.67,118.9,93.9,25.0,172
2023-24,All,57,Keshon Gilbert,Iowa State,3.11,3.76,6.87,1966,3.35,2.12,5.47,115.3,81.3,34.0,437
2023-24,All,58,A.J. Hoggard,Michigan State,4.05,2.82,6.87,1675,3.78,2.59,6.36,115.6,89.5,26.0,154
2023-24,All,59,Jaden Bradley,Arizona,3.50,3.35,6.85,1308,2.31,1.23,3.54,124.0,82.0,42.0,354
2023-24,All,60,Boo Buie,Northwestern,5.34,1.48,6.82,2042,5.32,1.31,6.63,116.8,94.6,22.2,185
2023-24,All,61,Kam Jones,Marquette,5.33,1.49,6.82,1838,5.31,0.95,6.26,120.1,89.3,30.8,270
2023-24,All,62,Jalen Bridges,Baylor,5.06,1.73,6.79,1819,4.77,1.38,6.15,122.8,94.2,28.5,195
2023-24,All,63,Eric Dixon,Villanova,4.42,2.32,6.75,1672,4.01,1.41,5.42,115.1,87.6,27.4,252
2023-24,All,64,Rob Dillingham,Kentucky,5.86,0.87,6.73,1406,5.29,1.21,6.50,126.6,97.8,28.8,244
2023-24,All,65,Oumar Ballo,Arizona,3.36,3.36,6.72,1728,3.03,2.77,5.80,121.0,86.4,34.6,331
2023-24,All,66,Josh Oduro,Providence,3.43,3.26,6.69,1750,3.49,2.59,6.08,112.5,88.9,23.5,195
2023-24,All,67,Kevin McCullar Jr.,Kansas,3.39,3.30,6.69,1494,3.69,1.90,5.59,116.7,87.0,29.7,203
2023-24,All,68,Bruce Thornton,Ohio State,5.15,1.54,6.69,1992,5.43,1.10,6.53,114.0,93.2,20.7,179
2023-24,All,69,Caleb Love,Arizona,4.05,2.64,6.68,2159,4.62,1.35,5.98,119.6,86.1,33.5,403
2023-24,All,70,Stephon Castle,Connecticut,3.71,2.95,6.67,1514,4.12,1.52,5.64,126.7,83.3,43.4,416
2023-24,All,71,Donovan Dent,New Mexico,4.01,2.65,6.66,2013,4.31,2.11,6.42,115.7,91.0,24.7,306
2023-24,All,72,Kel'el Ware,Indiana,3.43,3.22,6.65,1656,3.23,2.95,6.18,112.9,94.7,18.2,57
2023-24,All,73,Branden Carlson,Utah,4.20,2.43,6.63,1921,3.92,1.76,5.67,115.5,92.0,23.5,201
2023-24,All,74,Jahmir Young,Maryland,4.31,2.31,6.62,1886,4.80,1.56,6.36,107.6,88.9,18.7,119
2023-24,All,75,Richie Saunders,BYU,4.84,1.77,6.61,1237,5.03,0.91,5.94,123.5,91.5,32.0,242
2023-24,All,76,Walter Clayton Jr.,Florida,5.22,1.34,6.56,2066,4.58,1.87,6.45,121.2,97.5,23.7,185
2023-24,All,77,RayJ Dennis,Baylor,4.83,1.73,6.55,1950,4.47,1.70,6.18,122.2,94.7,27.5,220
2023-24,All,78,Hassan Diarra,Connecticut,3.78,2.77,6.55,1280,3.93,1.87,5.80,130.3,87.3,43.0,352
2023-24,All,79,Tyson Degenhart,Boise State,4.62,1.91,6.52,1726,5.00,1.01,6.01,113.8,91.4,22.4,183
2023-24,All,80,Andersson Garcia,Texas A&M,4.03,2.46,6.49,1732,4.12,2.51,6.63,120.8,95.2,25.6,177
2023-24,All,81,PJ Hall,Clemson,3.87,2.61,6.48,1767,3.65,2.99,6.64,119.0,95.1,23.9,185
2023-24,All,82,Vladislav Goldin,Florida Atlantic,4.36,2.08,6.44,1485,4.29,1.68,5.97,123.6,95.7,27.8,273
2023-24,All,83,Harrison Ingram,North Carolina,3.66,2.78,6.44,2154,3.51,2.40,5.92,120.9,89.5,31.3,338
2023-24,All,84,Graham Ike,Gonzaga,3.89,2.52,6.41,1418,4.28,1.38,5.66,125.2,87.5,37.7,387
2023-24,All,85,Ryan Nembhard,Gonzaga,4.79,1.61,6.41,2117,4.22,0.83,5.04,124.6,91.0,33.5,482
2023-24,All,86,Trey Alexander,Creighton,3.86,2.54,6.40,2212,3.43,1.99,5.42,122.2,91.4,30.8,355
2023-24,All,87,Johnell Davis,Florida Atlantic,4.50,1.90,6.40,1912,4.23,1.65,5.88,120.9,95.1,25.8,292
2023-24,All,88,Deivon Smith,Utah,4.08,2.28,6.36,1482,5.41,2.23,7.64,114.5,93.1,21.4,120
2023-24,All,89,Aly Khalifa,BYU,4.73,1.63,6.35,976,5.33,1.08,6.41,121.8,94.9,26.9,156
2023-24,All,90,Max Shulga,VCU,4.73,1.61,6.35,2028,4.88,1.13,6.01,110.5,94.0,16.6,151
2023-24,All,91,Augustas Marciulionis,Saint Mary's,3.75,2.59,6.34,1770,4.80,1.38,6.17,116.4,86.4,30.0,387
2023-24,All,92,Nique Clifford,Colorado State,2.71,3.62,6.32,1724,3.59,3.32,6.91,115.2,90.2,25.0,230
2023-24,All,93,Emanuel Miller,TCU,4.68,1.63,6.32,1940,5.06,0.80,5.86,116.1,92.2,23.9,224
2023-24,All,94,Chucky Hepburn,Wisconsin,3.92,2.40,6.31,1924,3.49,2.30,5.78,119.5,94.1,25.4,147
2023-24,All,95,Tristan da Silva,Colorado,4.59,1.72,6.31,1977,3.88,1.41,5.30,123.0,94.0,29.0,345
2023-24,All,96,Ta'lon Cooper,South Carolina,5.16,1.15,6.31,1844,5.43,0.63,6.06,116.9,97.0,19.9,145
2023-24,All,97,Dillon Jones,Weber State,3.91,2.40,6.30,1814,4.25,2.18,6.43,109.5,100.7,8.8,121
2023-24,All,98,Darrion Williams,Texas Tech,3.98,2.31,6.29,1810,4.16,1.81,5.98,118.0,94.4,23.6,198
2023-24,All,99,Matt Cross,Massachusetts,4.02,2.26,6.28,1468,5.39,1.50,6.89,113.0,94.2,18.9,225
2023-24,All,100,Adem Bona,UCLA,1.90,4.36,6.25,1369,1.76,3.03,4.79,106.0,89.6,16.4,103
2023-24,All,101,Darius Brown II,Utah State,4.72,1.51,6.23,2120,4.81,1.09,5.89,114.9,95.0,19.9,223
2023-24,All,102,Riley Minix,Morehead State,4.36,1.87,6.22,1782,4.98,1.44,6.42,111.5,96.3,15.2,244
2023-24,All,103,Nick Davidson,Nevada,3.72,2.50,6.22,1616,2.93,1.52,4.45,119.8,90.8,29.0,305
2023-24,All,104,Zyon Pullin,Florida,5.48,0.73,6.21,2039,5.59,0.88,6.47,120.3,95.9,24.4,167
2023-24,All,105,Ja'Vier Francis,Houston,1.10,5.09,6.19,1225,1.40,3.18,4.58,115.6,74.5,41.1,296
2023-24,All,106,Tucker DeVries,Drake,4.32,1.84,6.16,2018,3.76,1.41,5.17,116.0,95.7,20.3,306
2023-24,All,107,Joseph Girard III,Clemson,5.26,0.86,6.12,2013,5.02,0.80,5.81,120.1,94.9,25.2,244
2023-24,All,108,Steven Ashworth,Creighton,5.26,0.84,6.10,1886,4.25,0.28,4.53,124.6,91.7,32.9,337
2023-24,All,109,Jeremy Roach,Duke,4.42,1.67,6.09,1928,4.78,0.69,5.47,121.1,88.3,32.8,375
2023-24,All,110,Ben Gregg,Gonzaga,4.33,1.76,6.09,1402,3.74,2.26,6.00,125.7,94.4,31.3,291
