year,conference,rank,player_name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus
2022-23,All,1,Zach Edey,Purdue,7.58,4.22,11.80,1738,7.81,2.92,10.72,119.2,85.6,33.6,363
2022-23,All,2,Trayce Jackson-Davis,Indiana,6.05,3.56,9.62,1886,6.23,3.58,9.81,114.4,91.0,23.4,112
2022-23,All,3,Brandon Miller,Alabama,5.26,3.97,9.24,2222,5.40,2.29,7.69,117.1,80.6,36.5,508
2022-23,All,4,Marcus Sasser,Houston,6.74,2.15,8.89,1815,6.49,1.30,7.79,120.9,84.0,36.9,485
2022-23,All,5,Oscar Tshiebwe,Kentucky,5.26,3.56,8.82,1783,5.28,3.03,8.31,116.2,92.2,24.0,195
2022-23,All,6,Jalen Pickett,Penn State,6.04,2.58,8.62,2186,6.45,2.44,8.88,116.1,94.8,21.4,179
2022-23,All,7,DeAndre Williams,Memphis,4.72,3.62,8.34,1956,4.63,2.40,7.03,113.7,87.7,26.1,274
2022-23,All,8,Donovan Clingan,Connecticut,2.75,5.44,8.19,884,3.42,4.97,8.39,119.0,80.0,39.1,247
2022-23,All,9,Jaime Jaquez Jr.,UCLA,4.46,3.68,8.13,2075,4.56,2.26,6.81,114.5,81.3,33.2,456
2022-23,All,10,Markquis Nowell,Kansas State,5.51,2.61,8.11,2348,5.87,1.98,7.84,113.7,88.9,24.8,265
2022-23,All,11,Andre Jackson Jr.,Connecticut,4.80,3.18,7.98,1781,4.37,2.24,6.61,125.0,85.5,39.5,401
2022-23,All,12,Santiago Vescovi,Tennessee,4.84,3.08,7.92,1812,4.46,1.79,6.25,112.9,80.7,32.2,330
2022-23,All,13,Tyler Kolek,Marquette,5.67,2.17,7.84,2026,6.17,1.87,8.04,119.3,90.1,29.2,344
2022-23,All,14,Hunter Dickinson,Michigan,4.74,3.10,7.84,1886,3.63,2.23,5.87,113.0,91.4,21.6,144
2022-23,All,15,Azuolas Tubelis,Arizona,4.68,3.14,7.82,1934,4.81,1.88,6.69,117.3,88.1,29.2,350
2022-23,All,16,Dereck Lively II,Duke,3.40,4.34,7.75,1148,2.67,3.67,6.34,115.7,85.2,30.5,180
2022-23,All,17,Kendric Davis,Memphis,5.68,2.05,7.73,2158,4.46,1.53,5.99,115.4,90.1,25.2,306
2022-23,All,18,Ryan Kalkbrenner,Creighton,4.86,2.86,7.71,1880,4.63,1.89,6.52,117.3,86.2,31.0,315
2022-23,All,19,Tylor Perry,North Texas,5.71,2.00,7.71,1810,5.52,0.61,6.13,111.5,87.3,24.3,359
2022-23,All,20,Jake Stephens,Chattanooga,6.00,1.70,7.70,1242,5.98,1.89,7.86,113.5,101.9,11.6,120
2022-23,All,21,Jaylen Clark,UCLA,3.41,4.27,7.68,1544,3.48,2.75,6.23,116.4,79.4,37.0,391
2022-23,All,22,Adama Sanogo,Connecticut,5.08,2.57,7.65,1752,6.23,1.88,8.10,121.3,88.5,32.7,330
2022-23,All,23,Reece Beekman,Virginia,4.08,3.55,7.63,1642,3.58,2.51,6.09,113.7,87.2,26.5,218
2022-23,All,24,Jaelen House,New Mexico,4.27,3.36,7.63,1812,4.28,3.65,7.93,114.8,95.1,19.7,213
2022-23,All,25,Zakai Zeigler,Tennessee,3.92,3.63,7.55,1456,4.22,2.16,6.38,112.5,79.4,33.1,319
2022-23,All,26,Steven Ashworth,Utah State,6.89,0.62,7.52,1968,6.77,0.85,7.62,119.1,94.7,24.4,283
2022-23,All,27,Kyle Filipowski,Duke,3.24,4.16,7.40,1726,2.77,3.27,6.03,115.8,85.4,30.4,297
2022-23,All,28,Drew Timme,Gonzaga,5.89,1.45,7.34,2052,5.67,1.69,7.36,120.9,95.4,25.5,307
2022-23,All,29,Tristen Newton,Connecticut,5.06,2.27,7.33,1931,4.82,1.64,6.47,123.4,86.6,36.8,452
2022-23,All,30,Wade Taylor IV,Texas A&M,5.26,2.02,7.28,1726,5.20,1.72,6.91,117.0,91.4,25.5,287
2022-23,All,31,Baylor Scheierman,Creighton,4.00,3.27,7.27,2122,3.49,2.52,6.01,116.1,86.4,29.6,319
2022-23,All,32,Jamal Shead,Houston,3.97,3.29,7.26,1969,4.11,1.67,5.78,117.0,80.3,36.7,523
2022-23,All,33,Craig Porter Jr.,Wichita State,3.70,3.53,7.23,1783,4.01,3.30,7.31,107.4,93.8,13.6,133
2022-23,All,34,Jack Nunge,Xavier,4.92,2.22,7.14,1954,4.63,1.92,6.55,119.3,91.5,27.8,275
2022-23,All,35,Colin Castleton,Florida,2.70,4.44,7.14,1426,2.11,3.46,5.56,107.2,84.1,23.0,153
2022-23,All,36,Charles Bediako,Alabama,2.51,4.61,7.12,1391,1.80,2.49,4.29,115.4,78.0,37.5,314
2022-23,All,37,Kobe Brown,Missouri,5.37,1.74,7.11,1745,5.76,1.50,7.25,119.6,97.6,21.9,221
