year,conference,rank,player_name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus
2025-26,All,1,Cameron Boozer,Duke,9.60,4.86,14.46,2132,9.97,3.43,13.39,127.9,86.0,42.0,629
2025-26,All,2,Yaxel Lendeborg,Michigan,8.20,5.55,13.75,2126,7.59,4.07,11.66,130.5,83.7,46.8,668
2025-26,All,3,Jeremy Fears Jr.,Michigan State,7.78,3.50,11.28,1924,8.83,1.93,10.76,120.8,89.4,31.4,352
2025-26,All,4,Braden Smith,Purdue,8.11,2.99,11.10,2182,7.72,2.95,10.67,131.1,99.0,32.1,403
2025-26,All,5,Ja'Kobi Gillespie,Tennessee,7.29,3.29,10.59,2170,6.74,3.14,9.88,122.5,93.9,28.6,352
2025-26,All,6,Joshua Jefferson,Iowa State,5.74,4.64,10.37,1846,6.17,3.27,9.44,124.2,87.9,36.3,524
2025-26,All,7,Bruce Thornton,Ohio State,7.90,2.29,10.19,2065,7.45,2.06,9.50,122.8,98.3,24.5,269
2025-26,All,8,Zuby Ejiofor,St. John's,6.14,3.96,10.10,1960,6.93,3.59,10.52,118.5,91.0,27.5,325
2025-26,All,9,Kingston Flemings,Houston,6.50,3.39,9.89,1936,6.64,2.99,9.63,122.9,89.7,33.3,398
2025-26,All,10,Patrick Ngongba,Duke,5.06,4.82,9.88,1188,5.41,2.61,8.02,125.1,81.9,43.2,372
2025-26,All,11,Keaton Wagler,Illinois,7.38,2.46,9.84,2040,8.14,2.15,10.29,130.1,94.2,35.9,489
2025-26,All,12,Tyler Tanner,Vanderbilt,6.29,3.46,9.75,2124,6.51,3.42,9.92,123.9,96.4,27.6,360
2025-26,All,13,Oscar Cluff,Purdue,6.57,3.12,9.70,1556,6.65,2.52,9.17,133.4,95.3,38.1,360
2025-26,All,14,Aday Mara,Michigan,4.24,5.34,9.58,1662,4.77,4.28,9.04,126.3,84.6,41.7,427
2025-26,All,15,AJ Dybantsa,BYU,6.92,2.63,9.55,2160,6.62,2.02,8.63,122.2,97.8,24.5,308
2025-26,All,16,Tarris Reed Jr.,Connecticut,4.57,4.91,9.48,1584,5.54,3.93,9.47,122.2,88.4,33.7,312
2025-26,All,17,Brayden Burries,Arizona,5.51,3.97,9.48,2104,5.26,2.78,8.04,124.7,85.7,39.0,572
2025-26,All,18,Christian Anderson,Texas Tech,7.15,2.31,9.46,2162,7.54,2.56,10.10,122.1,98.1,24.0,242
2025-26,All,19,Flory Bidunga,Kansas,4.12,5.32,9.44,1886,3.72,3.71,7.43,117.3,87.1,30.1,292
